unit_id,canonical_name,organization_type,unit_level,coverage_group,normalized_key,ascii_key,source_url,source_sha256,source_hash_kind,qa_status,registry_version
BCA-2EE86E599CFA,Công an tỉnh An Giang,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an tỉnh an giang,cong an tinh an giang,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,b4c08f067affe57c4722b9fe5e3f0b7bd22ad7cfe12444afda74207cc5655a3c,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-FD9C3AC10151,Công an tỉnh Bắc Ninh,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an tỉnh bắc ninh,cong an tinh bac ninh,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,d958277f4e77c614fa4d673bee894bb205625dbf117c31d4baeac7cb71bd6674,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-8A1720F5E34C,Công an tỉnh Cà Mau,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an tỉnh cà mau,cong an tinh ca mau,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,0e954e31537f2ca2a8678da846c44e8b6f3c8dbbd5e97f32fad52010088e5f82,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-6258858555C5,Công an tỉnh Cao Bằng,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an tỉnh cao bằng,cong an tinh cao bang,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,bef6d0a00938e395920a1ba746a28415fe120c5f500718c566713fe5b555a6ec,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-D460EF8BF2CC,Công an thành phố Cần Thơ,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an thành phố cần thơ,cong an thanh pho can tho,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,c9e8d79a0b66f5930f1d38c44ee8b8e5d1ae55284556b8b4003a4d1ef52d273c,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-7C8F653929C6,Công an thành phố Đà Nẵng,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an thành phố đà nẵng,cong an thanh pho đa nang,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,42419f7985e1d18a8b75cf905a2a621aff6fe3bbd2097c486d0f7694316cb05e,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-6099D7FB354E,Công an tỉnh Đắk Lắk,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an tỉnh đắk lắk,cong an tinh đak lak,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,f1e515630aa16136742374c1a0990a7923efd2f429a268a82595d9e9dc18b086,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-C5BE66458041,Công an tỉnh Điện Biên,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an tỉnh điện biên,cong an tinh đien bien,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,f538a4f7e9f760c33c19f44358e284bfb316c589ff3e1a705929a653858b9adc,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-BA15ECEE7BDD,Công an tỉnh Đồng Nai,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an tỉnh đồng nai,cong an tinh đong nai,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,1067179ddbde4aacc249b2614d891c69c2834d5532a88bec837c9bc0e4e604bf,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
BCA-3CCD15224078,Công an tỉnh Đồng Tháp,BCA,PROVINCIAL,BCA_PROVINCIAL_POLICE,công an tỉnh đồng tháp,cong an tinh đong thap,https://hvannd.bocongan.gov.vn/bv/ct/16427/thong-cao-bao-chi-ve-trien-khai-sap-xep-to-chuc-cong-an-cap-tinh-cap-xa-theo-chu-truong-sap-xep-to-chuc-lai-don-vi-hanh-chinh-cac-cap-,5ca084b2735e832fd78293af8d079ba6c82578b1f0c9cdcfa9c39bb2914ab13a,EVIDENCE_RECORD_SHA256,APPROVED,2026.09-v2-baseline43
