unit_code,canonical_name,organization_type,unit_level,year_start,year_end,source_ref,source_url,source_type,code_source,crawled_at,crawl_version,unit_name_raw,unit_code_raw,dedup_key,qa_label,qa_annotator,qa_confidence,qa_note,qa_date,dataset_name,export_date
BCA_C01,Văn phòng Cơ quan Cảnh sát điều tra Bộ Công an,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Văn phòng Cơ quan Cảnh sát điều tra Bộ Công an,BCA_C01,van phong co quan canh sat ieu tra bo cong an,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_C02,Cục Cảnh sát hình sự,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Cục Cảnh sát hình sự,BCA_C02,cuc canh sat hinh su,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_C03,"Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu",BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,"Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu",BCA_C03,cuc canh sat ieu tra toi pham ve tham nhung kinh te buon lau,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_C04,Cục Cảnh sát điều tra tội phạm về ma túy,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Cục Cảnh sát điều tra tội phạm về ma túy,BCA_C04,cuc canh sat ieu tra toi pham ve ma tuy,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_C06,Cục Cảnh sát quản lý hành chính về trật tự xã hội,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Cục Cảnh sát quản lý hành chính về trật tự xã hội,BCA_C06,cuc canh sat quan ly hanh chinh ve trat tu xa hoi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_C07,Cục Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Cục Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ,BCA_C07,cuc canh sat phong chay chua chay va cuu nan cuu ho,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_C08,Cục Cảnh sát giao thông,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Cục Cảnh sát giao thông,BCA_C08,cuc canh sat giao thong,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_C10,"Cục Cảnh sát quản lý trại giam, cơ sở giáo dục bắt buộc",BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,"Cục Cảnh sát quản lý trại giam, cơ sở giáo dục bắt buộc",BCA_C10,cuc canh sat quan ly trai giam co so giao duc bat buoc,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_A01,Văn phòng Cơ quan An ninh điều tra Bộ Công an,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Văn phòng Cơ quan An ninh điều tra Bộ Công an,BCA_A01,van phong co quan an ninh ieu tra bo cong an,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_A02,Cục An ninh chính trị nội bộ,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Cục An ninh chính trị nội bộ,BCA_A02,cuc an ninh chinh tri noi bo,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
