unit_id,unit_code,canonical_name,organization_type,unit_level,source_ref,valid_from,valid_to,registry_version,qa_confidence
1,BCA_C01,Văn phòng Cơ quan Cảnh sát điều tra Bộ Công an,BCA,cap_phong_tinh,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
2,BCA_C02,Cục Cảnh sát hình sự,BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
3,BCA_C03,"Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu",BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
4,BCA_C04,Cục Cảnh sát điều tra tội phạm về ma túy,BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
5,BCA_C06,Cục Cảnh sát quản lý hành chính về trật tự xã hội,BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
6,BCA_C08,Cục Cảnh sát giao thông,BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
7,BCA_C10,"Cục Cảnh sát quản lý trại giam, cơ sở giáo dục bắt buộc",BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
8,BCA_A05,Cục An ninh mạng và phòng chống tội phạm công nghệ cao,BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
9,BCA_K01,Bộ Tư lệnh Cảnh vệ,BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
10,BCA_K02,Bộ Tư lệnh Cảnh sát cơ động,BCA,cap_bo,nd_bca_2018,2018-01-01,,v2.0.0,HIGH
11,BCA_T01,Học viện An ninh nhân dân,BCA,hoc_vien_truong,catalog_2018,2018-01-01,,v2.0.0,MEDIUM
12,BCA_T02,Học viện Cảnh sát nhân dân,BCA,hoc_vien_truong,catalog_2018,2018-01-01,,v2.0.0,MEDIUM
13,BCA_T03,Học viện Chính trị Công an nhân dân,BCA,hoc_vien_truong,catalog_2018,2018-01-01,,v2.0.0,MEDIUM
14,BCA_BV198,Bệnh viện 19 - 8 Bộ Công an,BCA,benh_vien,catalog_2018,2018-01-01,,v2.0.0,MEDIUM
15,BCA_BV304,Bệnh viện 30 - 4 Bộ Công an,BCA,benh_vien,catalog_2018,2018-01-01,,v2.0.0,MEDIUM
16,BCA_CA_HN,Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
17,BCA_CA_HN_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
18,BCA_CA_HN_PC02,Phòng Cảnh sát hình sự - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
19,BCA_CA_HN_PC03,Phòng Cảnh sát kinh tế - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
20,BCA_CA_HN_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
21,BCA_CA_HN_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
22,BCA_CA_HN_PC08,Phòng Cảnh sát giao thông - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
23,BCA_CA_HN_PA01,Phòng An ninh đối ngoại - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
24,BCA_CA_HN_PA02,Phòng An ninh nội địa - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
25,BCA_CA_HN_PA03,Phòng An ninh chính trị nội bộ - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
26,BCA_CA_HN_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Hà Nội,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
27,BCA_CA_HTAY,Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
