alias_id,unit_id,unit_code,alias_name,alias_type,generator_source
1,1,BCA_C01,Văn phòng Cơ quan Cảnh sát điều tra Bộ Công an,canonical,manual_registry
2,1,BCA_C01,C01,abbreviation,manual_domain
3,1,BCA_C01,C01 BCA,abbreviation,manual_domain
4,1,BCA_C01,VP CSĐT,abbreviation,manual_domain
5,1,BCA_C01,Văn phòng CSĐT,alias,manual_domain
6,1,BCA_C01,PC01 Bộ Công an,abbreviation,domain_rules
7,1,BCA_C01,Van phong Co quan Canh sat đieu tra Bo Cong an,no_accent,auto_rule
8,1,BCA_C01,VPCSĐTBCA,abbreviation,auto_rule
9,1,BCA_C01,Văn phòngCơ quan Cảnh sát điều tra Bộ Công an,typo_ocr,noise_injector
10,2,BCA_C02,Cục Cảnh sát hình sự,canonical,manual_registry
11,2,BCA_C02,C02,abbreviation,manual_domain
12,2,BCA_C02,Cục CSHS,abbreviation,manual_domain
13,2,BCA_C02,Cuc Canh sat hinh su,no_accent,auto_rule
14,2,BCA_C02,CCSHS,abbreviation,auto_rule
15,3,BCA_C03,"Cục Cảnh sát điều tra tội phạm về tham nhũng, kinh tế, buôn lậu",canonical,manual_registry
16,3,BCA_C03,C03,abbreviation,manual_domain
17,3,BCA_C03,Cục CSKT,abbreviation,manual_domain
18,3,BCA_C03,Cục Cảnh sát kinh tế,alias,manual_domain
19,3,BCA_C03,"Cuc Canh sat đieu tra toi pham ve tham nhung, kinh te, buon lau",no_accent,auto_rule
20,3,BCA_C03,CCSĐTTPTNKTBL,abbreviation,auto_rule
21,3,BCA_C03,"Cụ Cảnh sát điề tra tội phạm về tham nhũng, kinh tế, buôn lậu",typo_ocr,noise_injector
22,3,BCA_C03,"Cục Cảnh sát điều ra tội phạm về tham nhũng,kinh tế, buôn lậu",typo_ocr,noise_injector
23,4,BCA_C04,Cục Cảnh sát điều tra tội phạm về ma túy,canonical,manual_registry
24,4,BCA_C04,C04,abbreviation,manual_domain
25,4,BCA_C04,C04 BCA,abbreviation,manual_domain
26,4,BCA_C04,Cục ma túy,alias,manual_domain
27,4,BCA_C04,Cục CSĐT tội phạm về ma túy,alias,manual_domain
28,4,BCA_C04,Cuc Canh sat đieu tra toi pham ve ma tuy,no_accent,auto_rule
29,4,BCA_C04,CCSĐTTPMT,abbreviation,auto_rule
30,4,BCA_C04,Cục Cảnh sát điều tr tội phạm về ma túy,typo_ocr,noise_injector
31,5,BCA_C06,Cục Cảnh sát quản lý hành chính về trật tự xã hội,canonical,manual_registry
32,5,BCA_C06,C06,abbreviation,manual_domain
33,5,BCA_C06,Cục QLHC về TTXH,abbreviation,manual_domain
34,5,BCA_C06,Cục CSQLHC,abbreviation,manual_domain
35,5,BCA_C06,Cuc Canh sat quan ly hanh chinh ve trat tu xa hoi,no_accent,auto_rule
36,5,BCA_C06,CCSQLHCTTXH,abbreviation,auto_rule
37,6,BCA_C08,Cục Cảnh sát giao thông,canonical,manual_registry
38,6,BCA_C08,C08,abbreviation,manual_domain
39,6,BCA_C08,Cục CSGT,abbreviation,manual_domain
40,6,BCA_C08,Cục Cảnh sát GT,alias,manual_domain
41,6,BCA_C08,Cuc Canh sat giao thong,no_accent,auto_rule
42,6,BCA_C08,CCSGT,abbreviation,auto_rule
43,7,BCA_C10,"Cục Cảnh sát quản lý trại giam, cơ sở giáo dục bắt buộc",canonical,manual_registry
44,7,BCA_C10,C10,abbreviation,manual_domain
45,7,BCA_C10,Cục Cảnh sát trại giam,alias,manual_domain
46,7,BCA_C10,"Cuc Canh sat quan ly trai giam, co so giao duc bat buoc",no_accent,auto_rule
47,7,BCA_C10,CCSQLTGSGDBB,abbreviation,auto_rule
48,7,BCA_C10,"Cục Cảnh sát quản lý trại gia, cơ sở giáo dục bắt buộc",typo_ocr,noise_injector
49,8,BCA_A05,Cục An ninh mạng và phòng chống tội phạm công nghệ cao,canonical,manual_registry
50,8,BCA_A05,A05,abbreviation,manual_domain
51,8,BCA_A05,Cục An ninh mạng,alias,manual_domain
52,8,BCA_A05,ANM BCA,abbreviation,manual_domain
53,8,BCA_A05,Cuc An ninh mang va phong chong toi pham cong nghe cao,no_accent,auto_rule
54,8,BCA_A05,CANMPCTPCNC,abbreviation,auto_rule
55,8,BCA_A05,ục An ninh mạng và phòng chống tội phạm công nghệ cao,typo_ocr,noise_injector
56,8,BCA_A05,Cục An ninh mạng và phòng chống tội phạm công ngh cao,typo_ocr,noise_injector
57,9,BCA_K01,Bộ Tư lệnh Cảnh vệ,canonical,manual_registry
58,9,BCA_K01,K01,abbreviation,manual_domain
59,9,BCA_K01,BTL Cảnh vệ,abbreviation,manual_domain
60,9,BCA_K01,Bo Tu lenh Canh ve,no_accent,auto_rule
61,9,BCA_K01,BTLCV,abbreviation,auto_rule
62,9,BCA_K01,Bộ Tư lệnh Cản vệ,typo_ocr,noise_injector
63,10,BCA_K02,Bộ Tư lệnh Cảnh sát cơ động,canonical,manual_registry
64,10,BCA_K02,K02,abbreviation,manual_domain
65,10,BCA_K02,BTL CSCĐ,abbreviation,manual_domain
66,10,BCA_K02,CSCĐ,abbreviation,manual_domain
67,10,BCA_K02,Cảnh sát cơ động,alias,manual_domain
68,10,BCA_K02,Bo Tu lenh Canh sat co đong,no_accent,auto_rule
69,10,BCA_K02,BTLCSĐ,abbreviation,auto_rule
70,11,BCA_T01,Học viện An ninh nhân dân,canonical,manual_registry
71,11,BCA_T01,ANND,abbreviation,manual_domain
72,11,BCA_T01,Học viện ANND,abbreviation,manual_domain
73,11,BCA_T01,HV An ninh,alias,manual_domain
74,11,BCA_T01,T01,short_code,manual_domain
75,11,BCA_T01,Hoc vien An ninh nhan dan,no_accent,auto_rule
